Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BHARTIARTL,EQ,07-09-2018,372.3,373.9,391.3,368.8,389.3,389.6,383.91,4923668,1890257296,75645,2178211,44.24
BHARTIARTL,EQ,10-09-2018,389.6,389.3,397.5,382.2,387.35,388.4,387.87,5059483,1962406864,54372,2058811,40.69
BHARTIARTL,EQ,11-09-2018,388.4,388.5,392.4,377.45,379.1,378.7,381.85,5241423,2001419163,61811,1265359,24.14
BHARTIARTL,EQ,12-09-2018,378.7,380.9,382.15,371.8,376.2,376.7,377.1,3664475,1381874342,57357,1480508,40.4
BHARTIARTL,EQ,14-09-2018,376.7,378,388.2,373,385.25,383.6,378.39,3241639,1226613538,63391,1259111,38.84
BHARTIARTL,EQ,17-09-2018,383.6,380.15,391,377.1,382,382.05,384.11,3086233,1185459020,41333,650455,21.08
BHARTIARTL,EQ,18-09-2018,382.05,380.2,384.8,372.55,374.15,373.7,377.99,2663263,1006689203,35219,1082084,40.63
BHARTIARTL,EQ,19-09-2018,373.7,374.5,380.4,360.3,361.85,370.05,373.93,1966708,735409098.9,39430,392998,19.98
BHARTIARTL,EQ,21-09-2018,370.05,364.9,379.85,357.25,373.45,370.5,368.24,5503664,2026667477,62098,2710593,49.25
BHARTIARTL,EQ,24-09-2018,370.5,370.4,372.9,350.5,355.95,356.2,356.85,7105527,2535578712,75274,4289956,60.37
BHARTIARTL,EQ,25-09-2018,356.2,359.2,363.65,344,359.9,360.5,350.66,6177721,2166300649,109541,2729740,44.19
BHARTIARTL,EQ,26-09-2018,360.5,363,365,357.15,360.7,361.3,360.58,3964043,1429370152,67664,2071064,52.25
BHARTIARTL,EQ,27-09-2018,361.3,361.5,363.45,354.65,358.7,356.8,358.63,4041142,1449278106,92132,2774221,68.65
BHARTIARTL,EQ,28-09-2018,356.8,356.8,359,335.15,340,338.55,342.35,11183009,3828483819,155523,7284199,65.14
BHARTIARTL,EQ,01-10-2018,338.55,339,340,321.7,324.4,326.75,326.95,9794496,3202274998,107729,6234806,63.66
BHARTIARTL,EQ,03-10-2018,326.75,326,327.3,316.35,316.35,318.45,320.89,6659938,2137080580,101137,2663089,39.99
BHARTIARTL,EQ,04-10-2018,318.45,315.35,317.45,302.15,310.4,310.15,310.94,8083991,2513639066,97040,3983564,49.28
BHARTIARTL,EQ,05-10-2018,310.15,308.5,315.9,291.9,296.4,298.6,306.64,7168719,2198187035,108889,3895365,54.34
BHARTIARTL,EQ,08-10-2018,298.6,298.8,298.8,291,295,295.2,294.64,9026370,2659569851,152705,5687659,63.01
BHARTIARTL,EQ,09-10-2018,295.2,296.25,296.9,287,288.6,289,289.74,8561269,2480521183,97096,5289587,61.79
BHARTIARTL,EQ,10-10-2018,289,289,303.8,284.2,294.15,295.1,292.67,10215590,2989792163,131207,5448805,53.34
BHARTIARTL,EQ,11-10-2018,295.1,288.95,294.8,282.25,285.25,285.35,287.94,4681303,1347912966,96167,2208987,47.19
BHARTIARTL,EQ,12-10-2018,285.35,288,292.6,284.65,289.05,290.05,288.74,9008275,2601040248,110465,4831660,53.64
BHARTIARTL,EQ,15-10-2018,290.05,290.05,293,284.05,292.4,291.1,288.1,2607240,751158708.4,69426,755439,28.97
BHARTIARTL,EQ,16-10-2018,291.1,292.4,295.9,289.2,294.6,294,293.11,3011299,882651090.7,57580,1056490,35.08
